argc: 2
argv[ 0 ] has the value of fundamentals_demo.exe
argv[ 1 ] has the value of /for_loops_02
index          value
======================================
1, 1          1
1, 2          2
1, 3          3
1, 4          4
1, 5          5
1, 6          6
1, 7          7
1, 8          8
1, 9          9
1, 10          10
2, 1          2
2, 2          4
2, 3          6
2, 4          8
2, 5          10
2, 6          12
2, 7          14
2, 8          16
2, 9          18
2, 10          20
3, 1          3
3, 2          6
3, 3          9
3, 4          12
3, 5          15
3, 6          18
3, 7          21
3, 8          24
3, 9          27
3, 10          30
4, 1          4
4, 2          8
4, 3          12
4, 4          16
4, 5          20
4, 6          24
4, 7          28
4, 8          32
4, 9          36
4, 10          40
5, 1          5
5, 2          10
5, 3          15
5, 4          20
5, 5          25
5, 6          30
5, 7          35
5, 8          40
5, 9          45
5, 10          50
6, 1          6
6, 2          12
6, 3          18
6, 4          24
6, 5          30
6, 6          36
6, 7          42
6, 8          48
6, 9          54
6, 10          60
7, 1          7
7, 2          14
7, 3          21
7, 4          28
7, 5          35
7, 6          42
7, 7          49
7, 8          56
7, 9          63
7, 10          70
8, 1          8
8, 2          16
8, 3          24
8, 4          32
8, 5          40
8, 6          48
8, 7          56
8, 8          64
8, 9          72
8, 10          80
9, 1          9
9, 2          18
9, 3          27
9, 4          36
9, 5          45
9, 6          54
9, 7          63
9, 8          72
9, 9          81
9, 10          90
10, 1          10
10, 2          20
10, 3          30
10, 4          40
10, 5          50
10, 6          60
10, 7          70
10, 8          80
10, 9          90
10, 10          100
11, 1          11
11, 2          22
11, 3          33
11, 4          44
11, 5          55
11, 6          66
11, 7          77
11, 8          88
11, 9          99
11, 10          110
12, 1          12
12, 2          24
12, 3          36
12, 4          48
12, 5          60
12, 6          72
12, 7          84
12, 8          96
12, 9          108
12, 10          120
======================================

current          value
======================================
0.0000, 0.0000          0.0000
0.0000, 0.7854          0.0000
0.0000, 1.5708          0.0000
0.0000, 2.3562          0.0000
0.0000, 3.1416          0.0000
0.0000, 3.9270          0.0000
0.0000, 4.7124          0.0000
0.0000, 5.4978          0.0000
1.0000, 0.0000          0.0000
1.0000, 0.7854          0.7854
1.0000, 1.5708          1.5708
1.0000, 2.3562          2.3562
1.0000, 3.1416          3.1416
1.0000, 3.9270          3.9270
1.0000, 4.7124          4.7124
1.0000, 5.4978          5.4978
2.0000, 0.0000          0.0000
2.0000, 0.7854          1.5708
2.0000, 1.5708          3.1416
2.0000, 2.3562          4.7124
2.0000, 3.1416          6.2832
2.0000, 3.9270          7.8540
2.0000, 4.7124          9.4248
2.0000, 5.4978          10.9956
3.0000, 0.0000          0.0000
3.0000, 0.7854          2.3562
3.0000, 1.5708          4.7124
3.0000, 2.3562          7.0686
3.0000, 3.1416          9.4248
3.0000, 3.9270          11.7810
3.0000, 4.7124          14.1372
3.0000, 5.4978          16.4934
4.0000, 0.0000          0.0000
4.0000, 0.7854          3.1416
4.0000, 1.5708          6.2832
4.0000, 2.3562          9.4248
4.0000, 3.1416          12.5664
4.0000, 3.9270          15.7080
4.0000, 4.7124          18.8496
4.0000, 5.4978          21.9911
5.0000, 0.0000          0.0000
5.0000, 0.7854          3.9270
5.0000, 1.5708          7.8540
5.0000, 2.3562          11.7810
5.0000, 3.1416          15.7080
5.0000, 3.9270          19.6350
5.0000, 4.7124          23.5619
5.0000, 5.4978          27.4889
6.0000, 0.0000          0.0000
6.0000, 0.7854          4.7124
6.0000, 1.5708          9.4248
6.0000, 2.3562          14.1372
6.0000, 3.1416          18.8496
6.0000, 3.9270          23.5619
6.0000, 4.7124          28.2743
6.0000, 5.4978          32.9867
7.0000, 0.0000          0.0000
7.0000, 0.7854          5.4978
7.0000, 1.5708          10.9956
7.0000, 2.3562          16.4934
7.0000, 3.1416          21.9911
7.0000, 3.9270          27.4889
7.0000, 4.7124          32.9867
7.0000, 5.4978          38.4845
8.0000, 0.0000          0.0000
8.0000, 0.7854          6.2832
8.0000, 1.5708          12.5664
8.0000, 2.3562          18.8496
8.0000, 3.1416          25.1327
8.0000, 3.9270          31.4159
8.0000, 4.7124          37.6991
8.0000, 5.4978          43.9823
9.0000, 0.0000          0.0000
9.0000, 0.7854          7.0686
9.0000, 1.5708          14.1372
9.0000, 2.3562          21.2058
9.0000, 3.1416          28.2743
9.0000, 3.9270          35.3429
9.0000, 4.7124          42.4115
9.0000, 5.4978          49.4801
======================================

1,2,3,4,5,6,7,8,9,10
2,4,6,8,10,12,14,16,18,20
3,6,9,12,15,18,21,24,27,30
4,8,12,16,20,24,28,32,36,40
5,10,15,20,25,30,35,40,45,50
6,12,18,24,30,36,42,48,54,60
7,14,21,28,35,42,49,56,63,70
8,16,24,32,40,48,56,64,72,80
9,18,27,36,45,54,63,72,81,90
10,20,30,40,50,60,70,80,90,100
11,22,33,44,55,66,77,88,99,110
12,24,36,48,60,72,84,96,108,120
